# X 	 Y
1.500000000000000000e+08	-3.014415110999999925e+01
1.500500500500499904e+08	-3.012720163999999912e+01
1.501001001001000106e+08	-3.016399177999999992e+01
1.501501501501500010e+08	-3.010836623999999873e+01
1.502002002001999915e+08	-3.005662364999999880e+01
1.502502502502500117e+08	-3.003783387000000005e+01
1.503003003003000021e+08	-3.013134052999999923e+01
1.503503503503499925e+08	-3.009385655000000170e+01
1.504004004004000127e+08	-3.013178994000000088e+01
1.504504504504500031e+08	-3.014264225000000152e+01
1.505005005005010068e+08	-3.004720555999999831e+01
1.505505505505509973e+08	-2.999418464000000029e+01
1.506006006006009877e+08	-2.997872252000000159e+01
1.506506506506510079e+08	-2.998955082999999888e+01
1.507007007007009983e+08	-3.001863301999999933e+01
1.507507507507509887e+08	-3.006912846000000172e+01
1.508008008008010089e+08	-2.990025183999999925e+01
1.508508508508509994e+08	-2.996030813999999864e+01
1.509009009009009898e+08	-3.003939992999999831e+01
1.509509509509510100e+08	-2.987415048000000084e+01
1.510010010010010004e+08	-2.988593789999999828e+01
1.510510510510509908e+08	-2.991435729999999893e+01
1.511011011011010110e+08	-2.995041249999999877e+01
1.511511511511510015e+08	-2.993899031000000122e+01
1.512012012012009919e+08	-2.992129338000000160e+01
1.512512512512510121e+08	-2.993839266000000165e+01
1.513013013013010025e+08	-2.979327269999999928e+01
1.513513513513509929e+08	-2.996776981000000006e+01
1.514014014014010131e+08	-2.989840605999999923e+01
1.514514514514510036e+08	-2.992752472999999824e+01
1.515015015015020072e+08	-2.977360699999999838e+01
1.515515515515519977e+08	-2.992425507000000096e+01
1.516016016016019881e+08	-2.980237947999999903e+01
1.516516516516520083e+08	-2.971062191000000041e+01
1.517017017017019987e+08	-2.975280619000000115e+01
1.517517517517519891e+08	-2.979339317999999892e+01
1.518018018018020093e+08	-2.975258287000000124e+01
1.518518518518519998e+08	-2.986989928999999933e+01
1.519019019019019902e+08	-2.982468751000000040e+01
1.519519519519520104e+08	-2.977506896999999952e+01
1.520020020020020008e+08	-2.976033838000000031e+01
1.520520520520519912e+08	-2.973518530999999854e+01
1.521021021021020114e+08	-2.973487640000000098e+01
1.521521521521520019e+08	-2.964989777999999987e+01
1.522022022022019923e+08	-2.979622338000000070e+01
1.522522522522520125e+08	-2.971279498999999902e+01
1.523023023023020029e+08	-2.973974729000000039e+01
1.523523523523519933e+08	-2.971213301999999956e+01
1.524024024024020135e+08	-2.965397614999999831e+01
1.524524524524520040e+08	-2.965661581000000169e+01
1.525025025025030077e+08	-2.973462108000000015e+01
1.525525525525529981e+08	-2.968121457000000163e+01
1.526026026026029885e+08	-2.966900774000000141e+01
1.526526526526530087e+08	-2.955407472999999996e+01
1.527027027027029991e+08	-2.957283057000000071e+01
1.527527527527529895e+08	-2.964758657000000142e+01
1.528028028028030097e+08	-2.960170185000000131e+01
1.528528528528530002e+08	-2.958867161999999951e+01
1.529029029029029906e+08	-2.962621517999999909e+01
1.529529529529530108e+08	-2.947408422999999900e+01
1.530030030030030012e+08	-2.951096516000000136e+01
1.530530530530529916e+08	-2.957882023000000160e+01
1.531031031031030118e+08	-2.949212062999999873e+01
1.531531531531530023e+08	-2.944248215000000002e+01
1.532032032032029927e+08	-2.949954022000000009e+01
1.532532532532530129e+08	-2.953113558000000083e+01
1.533033033033030033e+08	-2.947901390000000177e+01
1.533533533533529937e+08	-2.941268390999999838e+01
1.534034034034030139e+08	-2.936404183000000145e+01
1.534534534534530044e+08	-2.942920202999999901e+01
1.535035035035040081e+08	-2.942218577999999951e+01
1.535535535535539985e+08	-2.937183870999999868e+01
1.536036036036039889e+08	-2.937672775000000058e+01
1.536536536536540091e+08	-2.933918886000000015e+01
1.537037037037039995e+08	-2.938962147000000158e+01
1.537537537537539899e+08	-2.939960046999999932e+01
1.538038038038040102e+08	-2.931191348000000119e+01
1.538538538538540006e+08	-2.929678133999999901e+01
1.539039039039039910e+08	-2.928769362999999970e+01
1.539539539539540112e+08	-2.925973885000000152e+01
1.540040040040040016e+08	-2.920146194000000150e+01
1.540540540540539920e+08	-2.927501141999999845e+01
1.541041041041040123e+08	-2.930896376999999831e+01
1.541541541541540027e+08	-2.920785301000000089e+01
1.542042042042039931e+08	-2.913143254999999954e+01
1.542542542542540133e+08	-2.920978391999999957e+01
1.543043043043040037e+08	-2.917198446000000089e+01
1.543543543543539941e+08	-2.913852982999999952e+01
1.544044044044040143e+08	-2.912656368000000029e+01
1.544544544544540048e+08	-2.911478976000000074e+01
1.545045045045050085e+08	-2.910184439000000012e+01
1.545545545545549989e+08	-2.901273842999999886e+01
1.546046046046049893e+08	-2.902600707999999941e+01
1.546546546546550095e+08	-2.906490722999999932e+01
1.547047047047049999e+08	-2.897464058999999992e+01
1.547547547547549903e+08	-2.903888746999999881e+01
1.548048048048050106e+08	-2.897152047000000152e+01
1.548548548548550010e+08	-2.889907197000000139e+01
1.549049049049049914e+08	-2.890154006999999936e+01
1.549549549549550116e+08	-2.886513400999999845e+01
1.550050050050050020e+08	-2.896158468000000141e+01
1.550550550550549924e+08	-2.876059307999999959e+01
1.551051051051050127e+08	-2.881605108000000115e+01
1.551551551551550031e+08	-2.873048457000000155e+01
1.552052052052049935e+08	-2.871524491999999995e+01
1.552552552552550137e+08	-2.861257949999999894e+01
1.553053053053050041e+08	-2.866977757000000082e+01
1.553553553553549945e+08	-2.864863414999999947e+01
1.554054054054050148e+08	-2.855708337000000085e+01
1.554554554554550052e+08	-2.848177390000000031e+01
1.555055055055060089e+08	-2.846947379999999939e+01
