# out of simlation
9.999999999999999547e-08 5.000000000000000152e-14 6.994974874371910095e+07
9.999999999999999547e-08 5.959595959595959471e-14 3.497487437185955048e+07
9.999999999999999547e-08 6.919191919191920052e-14 6.971580309574604034e+07
9.999999999999999547e-08 7.878787878787879371e-14 6.878002050385665894e+07
9.999999999999999547e-08 8.838383838383838691e-14 6.597267272818946838e+07
9.999999999999999547e-08 9.797979797979798010e-14 5.100015125796175003e+07
9.999999999999999547e-08 1.075757575757575859e-13 3.977076015529155731e+07
9.999999999999999547e-08 1.171717171717171791e-13 1.637619535806083679e+07
9.999999999999999547e-08 1.267676767676767849e-13 2.760558646073150635e+07
9.999999999999999547e-08 1.363636363636363655e-13 2.362851044520282745e+07
9.999999999999999547e-08 1.459595959595959461e-13 1.017663568679523468e+07
9.999999999999999547e-08 1.555555555555555771e-13 2.631888539688396454e+07
9.999999999999999547e-08 1.651515151515151577e-13 2.316061914925765991e+07
9.999999999999999547e-08 1.747474747474747382e-13 2.000235290163135529e+07
9.999999999999999547e-08 1.843434343434343693e-13 1.754592359792280197e+07
9.999999999999999547e-08 1.939393939393939499e-13 2.058721702156257629e+07
9.999999999999999547e-08 2.035353535353535304e-13 1.333490193442153931e+07
9.999999999999999547e-08 2.131313131313131615e-13 2.783953210870409012e+07
9.999999999999999547e-08 2.227272727272727421e-13 3.731433085158228874e+07
9.999999999999999547e-08 2.323232323232323226e-13 4.094048839515304565e+07
9.999999999999999547e-08 2.419191919191919032e-13 4.632123829851603508e+07
9.999999999999999547e-08 2.515151515151515343e-13 4.889464042621135712e+07
9.999999999999999547e-08 2.611111111111111148e-13 5.240382514579606056e+07
9.999999999999999547e-08 2.707070707070706954e-13 5.404144468160223961e+07
9.999999999999999547e-08 2.803030303030303265e-13 5.614695551335287094e+07
9.999999999999999547e-08 2.898989898989899070e-13 5.848641199307584763e+07
9.999999999999999547e-08 2.994949494949494876e-13 6.000705870489597321e+07
9.999999999999999547e-08 3.090909090909090682e-13 6.082586847279906273e+07
9.999999999999999547e-08 3.186868686868686992e-13 6.304835212853550911e+07
9.999999999999999547e-08 3.282828282828282798e-13 6.176165106468820572e+07
9.999999999999999547e-08 3.378787878787878604e-13 6.304835212853550911e+07
9.999999999999999547e-08 3.474747474747474914e-13 6.433505319238328934e+07
9.999999999999999547e-08 3.570707070707070720e-13 6.690845532007861137e+07
9.999999999999999547e-08 3.666666666666666526e-13 6.878002050385713577e+07
9.999999999999999547e-08 3.762626262626262836e-13 6.948185744777393341e+07
9.999999999999999547e-08 3.858585858585858642e-13 6.737634661602306366e+07
9.999999999999999547e-08 3.954545454545454448e-13 7.018369439169096947e+07
9.999999999999999547e-08 4.050505050505050758e-13 7.018369439169073105e+07
9.999999999999999547e-08 4.146464646464646564e-13 7.158736827952456474e+07
9.999999999999999547e-08 4.242424242424242370e-13 7.299104216735863686e+07
9.999999999999999547e-08 4.338383838383838175e-13 7.299104216735863686e+07
9.999999999999999547e-08 4.434343434343434486e-13 7.018369439169096947e+07
9.999999999999999547e-08 4.530303030303030291e-13 7.299104216735839844e+07
9.999999999999999547e-08 4.626262626262626602e-13 7.299104216735887527e+07
9.999999999999999547e-08 4.722222222222222408e-13 7.439471605519247055e+07
9.999999999999999547e-08 4.818181818181818213e-13 7.439471605519223213e+07
9.999999999999999547e-08 4.914141414141414019e-13 7.451168887917852402e+07
9.999999999999999547e-08 5.010101010101010835e-13 7.603233559099864960e+07
9.999999999999999547e-08 5.106060606060606640e-13 7.439471605519223213e+07
9.999999999999999547e-08 5.202020202020202446e-13 7.299104216735863686e+07
9.999999999999999547e-08 5.297979797979798252e-13 7.147039545553827286e+07
9.999999999999999547e-08 5.393939393939394057e-13 7.603233559099864960e+07
9.999999999999999547e-08 5.489898989898989863e-13 7.603233559099864960e+07
9.999999999999999547e-08 5.585858585858585669e-13 7.755298230281853676e+07
9.999999999999999547e-08 5.681818181818181474e-13 7.299104216735839844e+07
9.999999999999999547e-08 5.777777777777778290e-13 7.299104216735839844e+07
9.999999999999999547e-08 5.873737373737374096e-13 7.755298230281853676e+07
9.999999999999999547e-08 5.969696969696969901e-13 7.720206383085989952e+07
9.999999999999999547e-08 6.065656565656565707e-13 7.860573771869397163e+07
9.999999999999999547e-08 6.161616161616161513e-13 7.755298230281829834e+07
9.999999999999999547e-08 6.257575757575757318e-13 7.299104216735863686e+07
9.999999999999999547e-08 6.353535353535354134e-13 7.369287911127543449e+07
9.999999999999999547e-08 6.449494949494949939e-13 7.907362901463842392e+07
9.999999999999999547e-08 6.545454545454545745e-13 7.451168887917852402e+07
9.999999999999999547e-08 6.641414141414141551e-13 7.860573771869373322e+07
9.999999999999999547e-08 6.737373737373737357e-13 7.907362901463842392e+07
9.999999999999999547e-08 6.833333333333333162e-13 7.860573771869373322e+07
9.999999999999999547e-08 6.929292929292928968e-13 7.907362901463842392e+07
9.999999999999999547e-08 7.025252525252525783e-13 7.451168887917852402e+07
9.999999999999999547e-08 7.121212121212121589e-13 7.369287911127543449e+07
9.999999999999999547e-08 7.217171717171717395e-13 7.907362901463842392e+07
9.999999999999999547e-08 7.313131313131313200e-13 8.024335725450015068e+07
9.999999999999999547e-08 7.409090909090909006e-13 8.024335725449967384e+07
9.999999999999999547e-08 7.505050505050504812e-13 7.907362901463842392e+07
9.999999999999999547e-08 7.601010101010101627e-13 7.907362901463830471e+07
9.999999999999999547e-08 7.696969696969697433e-13 7.369287911127543449e+07
9.999999999999999547e-08 7.792929292929293239e-13 8.024335725449991226e+07
9.999999999999999547e-08 7.888888888888889044e-13 8.059427572645843029e+07
9.999999999999999547e-08 7.984848484848484850e-13 7.451168887917852402e+07
9.999999999999999547e-08 8.080808080808080656e-13 7.907362901463830471e+07
9.999999999999999547e-08 8.176767676767676461e-13 8.024335725450003147e+07
9.999999999999999547e-08 8.272727272727273277e-13 7.369287911127543449e+07
9.999999999999999547e-08 8.368686868686869083e-13 8.024335725449967384e+07
9.999999999999999547e-08 8.464646464646464888e-13 7.533049864708161354e+07
9.999999999999999547e-08 8.560606060606060694e-13 8.059427572645854950e+07
9.999999999999999547e-08 8.656565656565656500e-13 8.059427572645843029e+07
9.999999999999999547e-08 8.752525252525252305e-13 8.059427572645831108e+07
9.999999999999999547e-08 8.848484848484849121e-13 8.059427572645843029e+07
9.999999999999999547e-08 8.944444444444444926e-13 8.059427572645843029e+07
9.999999999999999547e-08 9.040404040404040732e-13 8.059427572645843029e+07
9.999999999999999547e-08 9.136363636363636538e-13 8.059427572645831108e+07
9.999999999999999547e-08 9.232323232323233353e-13 7.533049864708161354e+07
9.999999999999999547e-08 9.328282828282828149e-13 7.533049864708149433e+07
9.999999999999999547e-08 9.424242424242424965e-13 8.024335725449979305e+07
9.999999999999999547e-08 9.520202020202021780e-13 8.188097679030597210e+07
9.999999999999999547e-08 9.616161616161616576e-13 7.533049864708161354e+07
9.999999999999999547e-08 9.712121212121213392e-13 8.188097679030609131e+07
9.999999999999999547e-08 9.808080808080808187e-13 8.211492243827831745e+07
9.999999999999999547e-08 9.904040404040405003e-13 8.188097679030609131e+07
9.999999999999999547e-08 9.999999999999999799e-13 7.533049864708149433e+07

1.393939393939393812e-07 5.000000000000000152e-14 3.485790154787349701e+07
1.393939393939393812e-07 5.959595959595959471e-14 3.403909177996921539e+07
1.393939393939393812e-07 6.919191919191920052e-14 5.474328162551927567e+07
1.393939393939393812e-07 7.878787878787879371e-14 1.918354313372898102e+07
1.393939393939393812e-07 8.838383838383838691e-14 1.485554864624118805e+07
1.393939393939393812e-07 9.797979797979798010e-14 2.362851044520282745e+07
1.393939393939393812e-07 1.075757575757575859e-13 1.941748878170108795e+07
1.393939393939393812e-07 1.171717171717171791e-13 7.954152031058311462e+06
1.393939393939393812e-07 1.267676767676767849e-13 1.310095628644943237e+07
1.393939393939393812e-07 1.363636363636363655e-13 1.649316818204689026e+07
1.393939393939393812e-07 1.459595959595959461e-13 1.368582040637969971e+07
1.393939393939393812e-07 1.555555555555555771e-13 1.122939110267019272e+07
1.393939393939393812e-07 1.651515151515151577e-13 9.474798742878198624e+06
1.393939393939393812e-07 1.747474747474747382e-13 5.146804255390644073e+06
1.393939393939393812e-07 1.843434343434343693e-13 7.954152031058311462e+06
1.393939393939393812e-07 1.939393939393939499e-13 8.188097679030418396e+06
1.393939393939393812e-07 2.035353535353535304e-13 3.860103191543102264e+06
1.393939393939393812e-07 2.131313131313131615e-13 9.357825918892145157e+06
1.393939393939393812e-07 2.227272727272727421e-13 6.316532495252132416e+06
1.393939393939393812e-07 2.323232323232323226e-13 5.848641199307680130e+06
1.393939393939393812e-07 2.419191919191919032e-13 9.825717214836597443e+06
1.393939393939393812e-07 2.515151515151515343e-13 7.720206383086204529e+06
1.393939393939393812e-07 2.611111111111111148e-13 4.211021663501501083e+06
1.393939393939393812e-07 2.707070707070706954e-13 4.211021663501501083e+06
1.393939393939393812e-07 2.803030303030303265e-13 7.018369439169168472e+06
1.393939393939393812e-07 2.898989898989899070e-13 1.579133123813033104e+07
1.393939393939393812e-07 2.994949494949494876e-13 2.105510831750726700e+07
1.393939393939393812e-07 3.090909090909090682e-13 2.479823868506431580e+07
1.393939393939393812e-07 3.186868686868686992e-13 2.807347775667643547e+07
1.393939393939393812e-07 3.282828282828282798e-13 3.088082553234386444e+07
1.393939393939393812e-07 3.378787878787878604e-13 3.298633636409473419e+07
1.393939393939393812e-07 3.474747474747474914e-13 3.368817330801153183e+07
1.393939393939393812e-07 3.570707070707070720e-13 3.649552108367919922e+07
1.393939393939393812e-07 3.666666666666666526e-13 3.789919497151279449e+07
1.393939393939393812e-07 3.762626262626262836e-13 3.766524932354068756e+07
1.393939393939393812e-07 3.858585858585858642e-13 4.012167862724995613e+07
1.393939393939393812e-07 3.954545454545454448e-13 4.175929816305637360e+07
1.393939393939393812e-07 4.050505050505050758e-13 4.094048839515304565e+07
1.393939393939393812e-07 4.146464646464646564e-13 4.339691769886207581e+07
1.393939393939393812e-07 4.242424242424242370e-13 4.339691769886231422e+07
1.393939393939393812e-07 4.338383838383838175e-13 4.491756441068196297e+07
1.393939393939393812e-07 4.434343434343434486e-13 4.398178181879305840e+07
1.393939393939393812e-07 4.530303030303030291e-13 4.421572746676516533e+07
1.393939393939393812e-07 4.626262626262626602e-13 4.678912959446072578e+07
1.393939393939393812e-07 4.722222222222222408e-13 4.678912959446072578e+07
1.393939393939393812e-07 4.818181818181818213e-13 4.678912959446024895e+07
1.393939393939393812e-07 4.914141414141414019e-13 4.772491218634963036e+07
1.393939393939393812e-07 5.010101010101010835e-13 4.866069477823877335e+07
1.393939393939393812e-07 5.106060606060606640e-13 4.866069477823901176e+07
1.393939393939393812e-07 5.202020202020202446e-13 4.959647737012839317e+07
1.393939393939393812e-07 5.297979797979798252e-13 4.772491218634986877e+07
1.393939393939393812e-07 5.393939393939394057e-13 4.772491218634963036e+07
1.393939393939393812e-07 5.489898989898989863e-13 4.866069477823877335e+07
1.393939393939393812e-07 5.585858585858585669e-13 5.053225996201729774e+07
1.393939393939393812e-07 5.681818181818181474e-13 5.053225996201729774e+07
1.393939393939393812e-07 5.777777777777778290e-13 4.959647737012815475e+07
1.393939393939393812e-07 5.873737373737374096e-13 5.158501537789297104e+07
1.393939393939393812e-07 5.969696969696969901e-13 5.240382514579606056e+07
1.393939393939393812e-07 6.065656565656565707e-13 4.947950454614210129e+07
1.393939393939393812e-07 6.161616161616161513e-13 5.240382514579606056e+07
1.393939393939393812e-07 6.257575757575757318e-13 5.053225996201729774e+07
1.393939393939393812e-07 6.353535353535354134e-13 5.263777079376816750e+07
1.393939393939393812e-07 6.449494949494949939e-13 5.263777079376828671e+07
1.393939393939393812e-07 6.545454545454545745e-13 5.369052620964360237e+07
1.393939393939393812e-07 6.641414141414141551e-13 5.053225996201729774e+07
1.393939393939393812e-07 6.737373737373737357e-13 5.369052620964360237e+07
1.393939393939393812e-07 6.833333333333333162e-13 5.158501537789273262e+07
1.393939393939393812e-07 6.929292929292928968e-13 5.369052620964348316e+07
1.393939393939393812e-07 7.025252525252525783e-13 5.146804255390667915e+07
1.393939393939393812e-07 7.121212121212121589e-13 5.380749903362965584e+07
1.393939393939393812e-07 7.217171717171717395e-13 5.474328162551879883e+07
